,link,reference,brand,title,available,pretax_price,regular_price,price,type,user,level,color,user_config,eco_co2,product_type,qualities,sizes,weight,general_rate,nb_ratings,reviews,reviews_count_1_star,reviews_count_2_stars,reviews_count_3_stars,reviews_count_4_stars,reviews_count_5_stars,image_urls
0,https://freeglisse.com/fr/ski-occasion-adulte-freeride-et-freestyle/18916-ski-occasion-rossignol-sender-104-ti-2023-fixations.html,18916,Rossignol,Ski occasion Rossignol Sender 104 Ti 2023  + Fixations,Disponible,279.33,419.0,335.2,Freeride,Mixte,Performant,Gris,Freerideur adulte,3.6,Ski occasion freeride,['Qualité A'],"['172 cm', '164 cm', '186 cm', '178 cm']",6.0,5/5,1.0,"[""Hormis le problème de fixations après avoir pris le soins de les lustré préparé les cares et fartage la notation qualité A n'ai pas mis en  défaut.""]",0,0,0,0,1,https://freeglisse.com/70892-small_default/ski-occasion-rossignol-sender-104-ti-2023-fixations.jpg
1,https://freeglisse.com/fr/ski-occasion-adulte-freeride-et-freestyle/18915-ski-occasion-rossignol-sender-94-ti-2023-fixations.html,18915,Rossignol,Ski occasion Rossignol Sender 94 Ti 2023  + Fixations,Disponible,239.33,359.0,287.2,Freeride,Mixte,Performant,Noir,Freerideur adulte,3.6,Ski occasion freeride,['Qualité A'],"['156 cm', '172 cm', '164 cm']",6.0,4/5,1.0,['good cuality'],0,0,0,1,0,https://freeglisse.com/70897-small_default/ski-occasion-rossignol-sender-94-ti-2023-fixations.jpg
2,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/18974-ski-de-fond-occasion-rossignol-lts-junior-fixation-sns-profil.html,18974,Rossignol,Ski de fond occasion Rossignol LTS Junior + fixation SNS Profil,Disponible,15.83,,19.0,Alternatif,Junior,Loisir,Violet,,3.6,Ski de fond occasion alternatif norme SNS,['Qualité C'],"['150 cm', '170 cm', '160 cm']",4.0,,,[],0,0,0,0,0,
3,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/15468-ski-de-fond-occasion-toutes-marques-fixation-sns-profil.html,15468,Toutes marques,Ski de fond occasion Toutes marques + fixation SNS Profil,Disponible,12.5,,15.0,Alternatif,Mixte,Loisir,Blanc,,3.6,Ski de fond occasion alternatif norme SNS,['Qualité C'],"['150 cm', '170 cm', '140 cm', '160 cm']",4.0,4.8/5,10.0,"[""Je n'ai pas encore pu les tester car pas de chaussure dispo a la vente pour la pointure. Mais les écailles semblent encore en bon etat"", 'parfait, conforme à la description', 'Conforme', 'Superbe etat', 'Bon rapport qualité/prix', 'Conforme à la description, super', 'Pas déçue bien', 'Super pour le prix, ils ont déjà fait un tour de piste ce WE', ""Produit conforme à la description. Livraison sous 3 jours. Ma fille peut s'initier avec joie au ski de fond pour un prix tres correct. Parfait !"", 'Conforme']",0,0,0,2,8,https://freeglisse.com/43792-small_default/ski-de-fond-occasion-toutes-marques-fixation-sns-profil.jpg
4,https://freeglisse.com/fr/ski-occasion-femme-loisir/18890-ski-occasion-rossignol-nova-6-fixations.html,18890,Rossignol,Ski occasion Rossignol Nova 6 + fixations,Disponible,140.83,,169.0,Piste,Femme,Loisir,Violet,une femme,3.6,Ski occasion femme loisir,"['Qualité A', 'Qualité B', 'Qualité C']",['149 cm'],6.0,3.2/5,5.0,"['Etat du produit conforme à mes attentes!', 'Gewählte Qualiät war C - Oberseite schon einige Abplatzer; Laufflächen und Kanten aber okay. Gutes Preis-Lestungs-Verhältnis', ""Des skis pas chers c'est sûr mais quel état pitoyable !! Ok j'ai choisi categorie C et ça ne m'empêchera pas de skier mais qd-même !! A ce niveau c'est plutôt categorie Z !!! Il manque carrément  des morceaux sur le dessus des skis !! Une photo précise de l'état réel de la marchandise devrait être obligatoire.... bref... super déçue !"", 'Très bien', 'Pour des skis de 2022 pas en très bon état et le fartage est très moyen']",2,0,0,1,2,https://freeglisse.com/70606-small_default/ski-occasion-rossignol-nova-6-fixations.jpg
5,https://freeglisse.com/fr/ski-occasion-junior-pas-cher/18084-ski-occasion-junior-toutes-marques-a-29-fixations.html,18084,Toutes marques,Ski occasion junior toutes marques à 29 € + Fixations,Disponible,24.17,,29.0,Piste,Junior,Loisir,,,3.6,Ski occasion junior pas cher,['Qualité B'],"['117 cm', '145 cm', '110 cm', '150 cm', '130 cm', '100 cm', '136 cm', '140 cm', '137 cm', '120 cm', '147 cm', '131 cm']",6.0,4.5/5,2.0,"['skis en bon état, peu utilisés, assez rapides', 'Ancien mais ok']",0,0,0,1,1,
6,https://freeglisse.com/fr/ski-occasion-junior-pas-cher/1795-ski-occasion-junior-toutes-marques-a-19-fixations.html,1795_,Toutes marques,Ski occasion junior toutes marques à 19 € + Fixations,Disponible,15.83,,19.0,Piste,Junior,Loisir,,,3.6,Ski occasion junior pas cher,['Qualité B'],"['110 cm', '118 cm', '150 cm', '130 cm', '100 cm', '135 cm', '120 cm', '115 cm']",6.0,4.2/5,17.0,"['impeccable', 'Conforme', 'Skis propres avec usure normale', 'Conforme au prix.', 'Bien', 'Skis réglé pour la chaussure, fartage est déjà fait.', 'Ski moyen', 'Bon matériel !!', ""Agréablement surpris, pour le prix franchement c'est très correct."", ""Bon produit fatigué au niveaux esthétique mais on s'en doutais vu que c'c'est du ski de location"", 'Semelles en très bon état', ""Très bien c'est complétement adapté pour débuter et d'un très bon rapport qualité prix . Je recommande.\r\nAntoine"", 'Mauvais état, Très déçue', 'Les ski sont impeccables pour ce prix.', 'Tres bien', 'Fartage un peu rapide et ski abîmé (précisé dans la description)', ""Se sont des skis d'occasions donc un peu abimés""]",1,0,2,5,9,https://freeglisse.com/3608-small_default/ski-occasion-junior-toutes-marques-a-19-fixations.jpg
7,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/15483-ski-de-fond-occasion-toutes-marques-fixation-vieux-sns.html,15483,Toutes marques,Ski de fond occasion Toutes marques  + fixation vieux sns,Disponible,7.5,,9.0,Alternatif,Mixte,Débutant,Blanc,,3.6,Ski de fond occasion alternatif norme SNS,['Qualité C'],"['150 cm', '140 cm']",4.0,4.6/5,5.0,"['Etat correct', 'bien', 'Parfait', 'Tbien', 'Le matériel est en très bon état.']",0,0,0,2,3,https://freeglisse.com/43793-small_default/ski-de-fond-occasion-toutes-marques-fixation-vieux-sns.jpg
8,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/18999-ski-de-fond-occasion-toutes-marques-fixation-sns-profil.html,18999,Toutes marques,Ski de fond occasion Toutes marques + fixation SNS Profil,Disponible,15.83,,19.0,Alternatif,Mixte,Loisir,Gris,,3.6,Ski de fond occasion alternatif norme SNS,['Qualité C'],"['180 cm', '190 cm', '170 cm']",4.0,,,[],0,0,0,0,0,
9,https://freeglisse.com/fr/ski-occasion-junior-loisir/14329-ski-junior-rossignol-star-wars-occasion-fixations.html,14329,Rossignol,Ski junior Rossignol Star Wars occasion + fixations,Disponible,57.5,,69.0,Piste,Junior,Débutant,Bleu,un junior,3.6,Ski occasion junior loisir,['Qualité A'],['110 cm'],6.0,4.4/5,9.0,"['Sehr guter Zustand', 'presques neufs !!', 'Livraison super rapide.\r\nUn peu déçu de l état du matériel par rapport aux photos du site \r\nJe pensais qu en cat a le matériel serait en meilleur état.\r\nJe n imagine meme pas la cat b ou c...\r\nAprès il ne.faut oublier que c est de l occasion', 'Skis correspondant au descriptif', ""Paire de ski commandée qualité A, or l'un des skis était rayé sur toute la longueur de la semelle (dû à un caillou très certainement).\r\nMalheureusement, c'était ma 1ère commande auprès de ce site et ce sera la dernière.\r\nJe ne le conseille pas."", 'Super etat', 'Très bon ski, fixations nickel', 'Bon état...', 'As expected.']",0,1,1,0,7,https://freeglisse.com/37832-small_default/ski-junior-rossignol-star-wars-occasion-fixations.jpg
